2025-02-24 21:39:56,047 - CRITICAL - Invalid move 'invalid_move' for game 2541, turn W1. 
2025-02-24 21:39:56,047 - CRITICAL - Invalid move 'invalid_move' for game 8784, turn W1. 
2025-02-24 21:39:56,049 - CRITICAL - Invalid move 'invalid_move' for game 4417, turn W1. 
2025-02-24 21:39:56,054 - CRITICAL - Invalid move 'invalid_move' for game 4419, turn W1. 
2025-02-24 21:39:56,054 - CRITICAL - Invalid move 'invalid_move' for game 6286, turn W1. 
2025-02-24 21:39:56,055 - CRITICAL - Invalid move 'invalid_move' for game 1917, turn W1. 
2025-02-24 21:39:56,058 - CRITICAL - Invalid move 'invalid_move' for game 44, turn W1. 
2025-02-24 21:39:56,065 - CRITICAL - Invalid move 'invalid_move' for game 1920, turn W1. 
2025-02-24 21:39:56,066 - CRITICAL - Invalid move 'invalid_move' for game 5653, turn W1. 
2025-02-24 21:39:56,069 - CRITICAL - Invalid move 'invalid_move' for game 9390, turn W1. 
2025-02-24 21:39:56,073 - CRITICAL - Invalid move 'invalid_move' for game 3174, turn W1. 
2025-02-24 21:39:56,076 - CRITICAL - Invalid move 'invalid_move' for game 1302, turn W1. 
2025-02-24 21:39:56,077 - CRITICAL - Invalid move 'invalid_move' for game 5656, turn W1. 
2025-02-24 21:39:56,079 - CRITICAL - Invalid move 'invalid_move' for game 8792, turn W1. 
2025-02-24 21:39:56,080 - CRITICAL - Invalid move 'invalid_move' for game 7545, turn W1. 
2025-02-24 21:39:56,082 - CRITICAL - Invalid move 'invalid_move' for game 2549, turn W1. 
2025-02-24 21:39:56,085 - CRITICAL - Invalid move 'invalid_move' for game 8794, turn W1. 
2025-02-24 21:39:56,085 - CRITICAL - Invalid move 'invalid_move' for game 6294, turn W1. 
2025-02-24 21:39:56,086 - CRITICAL - Invalid move 'invalid_move' for game 7547, turn W1. 
2025-02-24 21:39:56,088 - CRITICAL - Invalid move 'invalid_move' for game 3178, turn W1. 
2025-02-24 21:39:56,090 - CRITICAL - Invalid move 'invalid_move' for game 4428, turn W1. 
2025-02-24 21:39:56,093 - CRITICAL - Invalid move 'invalid_move' for game 5047, turn W1. 
2025-02-24 21:39:56,096 - CRITICAL - Invalid move 'invalid_move' for game 2553, turn W1. 
2025-02-24 21:39:56,098 - CRITICAL - Invalid move 'invalid_move' for game 8168, turn W1. 
2025-02-24 21:39:56,100 - CRITICAL - Invalid move 'invalid_move' for game 6298, turn W1. 
2025-02-24 21:39:56,100 - CRITICAL - Invalid move 'invalid_move' for game 3798, turn W1. 
2025-02-24 21:39:56,102 - CRITICAL - Invalid move 'invalid_move' for game 9398, turn W1. 
2025-02-24 21:39:56,105 - CRITICAL - Invalid move 'invalid_move' for game 7552, turn W1. 
2025-02-24 21:39:56,108 - CRITICAL - Invalid move 'invalid_move' for game 8171, turn W1. 
2025-02-24 21:39:56,111 - CRITICAL - Invalid move 'invalid_move' for game 3184, turn W1. 
